,liwc,delta,a,b
0,relig,-0.029598711147617286,0,1
1,body,-1.4820619946193851,7,70
2,compare,-0.772582073761466,952,1111
3,money,-0.11678094876599954,41,48
4,pronoun,0.5503392453829014,5144,5351
5,feel,-1.17030275293339,1085,1207
6,certain,0.2378576068920282,433,441
7,insight,0.36373923758617904,1299,1314
8,assent,0.021724459616777634,0,3
9,number,-1.8295932058845523,102,216
10,negate,1.2542403126971748,710,620
11,sad,0.23967805886302573,83,80
12,affiliation,0.25933422317679156,206,212
13,cogproc,0.47518291646091493,3788,3945
14,female,-0.1730548916142636,26,63
15,affect,0.7424471480211807,916,895
16,anger,-0.11011497982040044,7,17
17,home,1.0090735359490546,80,48
18,conj,-0.3833056825793281,1736,1981
19,sexual,0.09976927580771597,0,0
20,negemo,-0.5810442354536817,268,366
21,ppron,1.1596190369275146,4056,4007
22,differ,-0.0326777960663731,1145,1241
23,death,0.19229623264270873,4,2
24,family,0.9302555248037091,74,43
25,adverb,-1.258864236339051,1547,1910
26,space,0.6742012559847999,1464,1460
27,informal,0.8596482891880787,95,57
28,posemo,1.4835168805603431,613,479
29,anx,-1.3934080976785201,127,197
30,focuspresent,0.2676694729555932,3362,3572
31,netspeak,0.05683664990991671,0,1
32,percept,-2.7068419648985897,1150,1515
33,health,-1.228015582718758,358,449
34,discrep,0.36075884150071036,147,154
35,relativ,-0.08319623097391513,2371,2611
36,quant,-0.3223504201375172,413,494
37,nonflu,1.971094207845089,88,36
38,adj,-1.710526374389216,808,1200
39,prep,-0.8816535273228908,3397,3944
40,friend,0.13747695076523023,31,31
41,function,-0.42378484190310106,14949,16416
42,bio,-1.6526014889825134,380,552
43,tentat,0.36933177006045453,630,648
44,risk,-0.17491514487622137,29,55
45,power,0.5430339778780129,454,436
46,interrog,-1.0420661305745118,243,386
47,social,0.5522044903567085,471,596
48,drives,1.2093296105414546,1484,1386
49,leisure,0.9151875774771966,77,49
50,we,-0.3334760382642222,28,49
51,verb,-0.03454127909159314,3979,4400
52,hear,0.20030433398911573,23,23
53,focuspast,0.7299977658156312,235,206
54,they,0.3995090860723465,46,35
55,article,-1.1519958057828668,1045,1352
56,you,0.5996532288089643,13,20
57,male,0.2675983604373615,50,62
58,ipron,-0.6596814067853647,1088,1344
59,i,0.9765900334510857,3966,3900
60,cause,-0.8418910043330347,323,431
61,work,1.948865223997925,307,202
62,see,-4.008648084404139,39,284
63,ingest,-0.5781097964663866,3,18
64,motion,-0.4106312886137262,173,247
65,filler,-0.11814388286409708,0,1
66,achiev,0.773791391535125,385,345
67,swear,-0.00983651438357388,0,2
68,focusfuture,0.006363035328299168,154,183
69,time,-0.6270277955731598,731,893
70,auxverb,0.5770311818437223,1953,2030
71,reward,1.4059369936312023,511,406
72,shehe,0.4403820148983565,3,3
73,pro1,0.823119120657996,3994,3949
