,liwc,delta,a,b
0,relig,-0.08293969817143881,0,1
1,body,-0.4640287965096846,7,24
2,compare,1.6922588202375757,952,728
3,money,-1.4420316574478163,41,86
4,pronoun,0.45101718607337166,5144,4950
5,feel,1.9940938814543931,1085,919
6,certain,1.220276594909204,433,318
7,insight,1.7542824918086461,1299,1059
8,assent,-0.17134496495642598,0,5
9,number,-0.8747035363561948,102,149
10,negate,1.4836747386707094,710,556
11,sad,-0.14412395738131736,83,89
12,affiliation,-2.0123977044915375,206,387
13,cogproc,1.4747455605576758,3788,3346
14,female,-0.15447798601963977,26,35
15,affect,0.22089126391902125,916,863
16,anger,-0.04606019992387664,7,8
17,home,-2.743556178486445,80,184
18,conj,-0.7542125604053216,1736,1870
19,sexual,-0.01483379461549138,0,0
20,negemo,-1.043110562638652,268,370
21,ppron,-0.025164012158372544,4056,4026
22,differ,0.0732660482299944,1145,1120
23,death,-0.00738650673070287,4,4
24,family,-2.51964159676253,74,176
25,adverb,-2.201671441632575,1547,1939
26,space,-0.1868135409598923,1464,1480
27,informal,-0.11629497270999724,95,100
28,posemo,1.2303923375187047,613,439
29,anx,-2.22557475071186,127,227
30,focuspresent,0.33435618925969957,3362,3230
31,netspeak,-0.014011031998309572,0,0
32,percept,1.3618168254033223,1150,987
33,health,-0.22595091188016372,358,370
34,discrep,-0.275606872057939,147,172
35,relativ,-0.4803170870231057,2371,2454
36,quant,0.1558283863976867,413,389
37,nonflu,0.7632171554481358,88,66
38,adj,-0.29971744914691906,808,843
39,prep,0.589860293369416,3397,3189
40,friend,-0.0975496001042607,31,34
41,function,0.07728159806688986,14949,14725
42,bio,-0.38021497884347616,380,409
43,tentat,0.628800818812659,630,533
44,risk,-0.20492206519341621,29,40
45,power,0.6547718034323237,454,381
46,interrog,-0.6261591727655862,243,301
47,social,-1.0890446767166966,471,720
48,drives,-0.19836922051543038,1484,1502
49,leisure,-2.6794388086780594,77,176
50,we,-1.2396064346770386,28,81
51,verb,-0.37924039724114483,3979,4039
52,hear,-0.08283194075599236,23,26
53,focuspast,-0.7765533855608789,235,338
54,they,-0.24989423744060482,46,60
55,article,-0.12228058629845452,1045,1050
56,you,-0.10654148703005646,13,15
57,male,0.00933897547329108,50,43
58,ipron,0.7700330221801275,1088,924
59,i,0.7501491709661133,3966,3863
60,cause,-0.570831284991337,323,371
61,work,-0.04864797048348914,307,308
62,see,-0.08307470777595131,39,42
63,ingest,-0.23352457881938857,3,8
64,motion,-0.7286475896770169,173,239
65,filler,-0.003636562455280515,0,0
66,achiev,-0.5385310362054795,385,427
67,swear,-0.056375244026729464,0,1
68,focusfuture,-0.6510653540985367,154,209
69,time,-0.18197682834861068,731,746
70,auxverb,0.11846218924715653,1953,1893
71,reward,1.680158847895399,511,338
72,shehe,-0.09809745626312315,3,7
73,pro1,0.5166233158086764,3994,3944
