,liwc,delta,a,b
0,relig,-0.017559269801487247,0,0
1,body,-0.10358217430913108,7,9
2,compare,0.6166695484733442,952,851
3,money,0.4492663258034906,41,26
4,pronoun,0.20200177248258797,5144,4940
5,feel,0.6443908527062299,1085,1023
6,certain,1.9828762414206005,433,243
7,insight,0.06882886988573368,1299,1266
8,assent,-0.1360648458104599,0,3
9,number,0.034826556677650604,102,96
10,negate,0.619423759736234,710,634
11,sad,0.04883616417093709,83,77
12,affiliation,0.06346692205242101,206,189
13,cogproc,-0.11134983235652895,3788,3710
14,female,-0.04596401214795387,26,21
15,affect,0.36824644558517655,916,814
16,anger,-0.07844975030593637,7,8
17,home,0.9156605378149159,80,45
18,conj,0.0003049693067810026,1736,1674
19,sexual,-0.037835054372647246,0,0
20,negemo,-0.692966411655762,268,325
21,ppron,0.3933177796945862,4056,3864
22,differ,-1.1720688876920984,1145,1296
23,death,0.1241265616561297,4,2
24,family,1.0763780431798045,74,30
25,adverb,-1.8046504298626456,1547,1835
26,space,-0.758161543978552,1464,1555
27,informal,-0.23242204230483104,95,104
28,posemo,1.0592422767073768,613,447
29,anx,-1.0645974771141122,127,172
30,focuspresent,1.053334372987417,3362,2972
31,netspeak,-0.07322667163262704,0,1
32,percept,-0.2087025947069007,1150,1156
33,health,-1.0759034281435,358,420
34,discrep,-0.3896471515431528,147,174
35,relativ,-0.7984643361544428,2371,2480
36,quant,-0.09776529231344867,413,407
37,nonflu,0.24231090306057443,88,80
38,adj,-0.7268457481143181,808,891
39,prep,-0.1098734914472847,3397,3314
40,friend,-0.12927565500025912,31,34
41,function,-0.08060038648811682,14949,14511
42,bio,-0.8649206137795596,380,445
43,tentat,-0.9323875038532888,630,733
44,risk,-0.3196305102283424,29,44
45,power,-0.49789468839104345,454,491
46,interrog,-0.788342361167347,243,309
47,social,-0.263136055890894,471,438
48,drives,0.5209635160446222,1484,1340
49,leisure,1.2597676108934754,77,31
50,we,-0.26681488539792253,28,37
51,verb,0.12368453918132308,3979,3785
52,hear,-0.09365719155402029,23,24
53,focuspast,0.11698648350539328,235,188
54,they,0.36213121984541513,46,17
55,article,-0.06235462149806781,1045,1015
56,you,-0.3055039537557042,13,24
57,male,0.04419458969216747,50,30
58,ipron,-0.19895118746665497,1088,1076
59,i,1.2926588308033151,3966,3782
60,cause,0.1712880668927214,323,296
61,work,0.0970512647988457,307,296
62,see,-1.2957234201592698,39,108
63,ingest,-0.2959932143976717,3,9
64,motion,-0.6655519697068225,173,225
65,filler,-0.009275407624023029,0,0
66,achiev,0.20443366947980282,385,358
67,swear,-0.03000361035594196,0,0
68,focusfuture,-0.4523689938560611,154,184
69,time,-0.05236184551755103,731,711
70,auxverb,0.9693591231902927,1953,1642
71,reward,1.7497759692812844,511,323
72,shehe,-0.17516960494252287,3,4
73,pro1,1.8691902787439758,3994,3819
