,liwc,delta,a,b
0,relig,0.029598711147617286,1,0
1,body,1.4820619946193851,70,7
2,compare,0.772582073761466,1111,952
3,money,0.11678094876599954,48,41
4,pronoun,-0.5503392453829014,5351,5144
5,feel,1.17030275293339,1207,1085
6,certain,-0.2378576068920282,441,433
7,insight,-0.36373923758617904,1314,1299
8,assent,-0.021724459616777634,3,0
9,number,1.8295932058845523,216,102
10,negate,-1.2542403126971748,620,710
11,sad,-0.23967805886302573,80,83
12,affiliation,-0.25933422317679156,212,206
13,cogproc,-0.47518291646091493,3945,3788
14,female,0.1730548916142636,63,26
15,affect,-0.7424471480211807,895,916
16,anger,0.11011497982040044,17,7
17,home,-1.0090735359490546,48,80
18,conj,0.3833056825793281,1981,1736
19,sexual,-0.09976927580771597,0,0
20,negemo,0.5810442354536817,366,268
21,ppron,-1.1596190369275146,4007,4056
22,differ,0.0326777960663731,1241,1145
23,death,-0.19229623264270873,2,4
24,family,-0.9302555248037091,43,74
25,adverb,1.258864236339051,1910,1547
26,space,-0.6742012559847999,1460,1464
27,informal,-0.8596482891880787,57,95
28,posemo,-1.4835168805603431,479,613
29,anx,1.3934080976785201,197,127
30,focuspresent,-0.2676694729555932,3572,3362
31,netspeak,-0.05683664990991671,1,0
32,percept,2.7068419648985897,1515,1150
33,health,1.228015582718758,449,358
34,discrep,-0.36075884150071036,154,147
35,relativ,0.08319623097391513,2611,2371
36,quant,0.3223504201375172,494,413
37,nonflu,-1.971094207845089,36,88
38,adj,1.710526374389216,1200,808
39,prep,0.8816535273228908,3944,3397
40,friend,-0.13747695076523023,31,31
41,function,0.42378484190310106,16416,14949
42,bio,1.6526014889825134,552,380
43,tentat,-0.36933177006045453,648,630
44,risk,0.17491514487622137,55,29
45,power,-0.5430339778780129,436,454
46,interrog,1.0420661305745118,386,243
47,social,-0.5522044903567085,596,471
48,drives,-1.2093296105414546,1386,1484
49,leisure,-0.9151875774771966,49,77
50,we,0.3334760382642222,49,28
51,verb,0.03454127909159314,4400,3979
52,hear,-0.20030433398911573,23,23
53,focuspast,-0.7299977658156312,206,235
54,they,-0.3995090860723465,35,46
55,article,1.1519958057828668,1352,1045
56,you,-0.5996532288089643,20,13
57,male,-0.2675983604373615,62,50
58,ipron,0.6596814067853647,1344,1088
59,i,-0.9765900334510857,3900,3966
60,cause,0.8418910043330347,431,323
61,work,-1.948865223997925,202,307
62,see,4.008648084404139,284,39
63,ingest,0.5781097964663866,18,3
64,motion,0.4106312886137262,247,173
65,filler,0.11814388286409708,1,0
66,achiev,-0.773791391535125,345,385
67,swear,0.00983651438357388,2,0
68,focusfuture,-0.006363035328299168,183,154
69,time,0.6270277955731598,893,731
70,auxverb,-0.5770311818437223,2030,1953
71,reward,-1.4059369936312023,406,511
72,shehe,-0.4403820148983565,3,3
73,pro1,-0.823119120657996,3949,3994
