,liwc,delta,a,b
0,relig,-0.053495823306040004,1,1
1,body,1.0172790597134118,70,24
2,compare,2.467372069719189,1111,728
3,money,-1.3281164324756174,48,86
4,pronoun,-0.09838066908162267,5351,4950
5,feel,3.166455727691143,1207,919
6,certain,0.9846462271837084,441,318
7,insight,1.3937529206487838,1314,1059
8,assent,-0.19336719131719968,3,5
9,number,0.9533636244305351,216,149
10,negate,0.23244892458996616,620,556
11,sad,-0.3839922503162535,80,89
12,affiliation,-2.275189557951325,212,387
13,cogproc,1.0022907831762984,3945,3346
14,female,0.018259821300417645,63,35
15,affect,-0.5209709545892965,895,863
16,anger,0.06394510968395557,17,8
17,home,-3.751353270660344,48,184
18,conj,-0.3723386077771171,1981,1870
19,sexual,-0.11460307042320735,0,0
20,negemo,-0.464076292278851,366,370
21,ppron,-1.1845232731068367,4007,4026
22,differ,0.10606424940494119,1241,1120
23,death,-0.19964495648251326,2,4
24,family,-3.450215953668369,43,176
25,adverb,-0.9470691938242896,1910,1939
26,space,-0.8611674293873772,1460,1480
27,informal,-0.9759074800571633,57,100
28,posemo,-0.2505563219975358,479,439
29,anx,-0.8374754801696876,197,227
30,focuspresent,0.06734712427496552,3572,3230
31,netspeak,-0.07085750387367952,1,0
32,percept,4.06921979046623,1515,987
33,health,1.0014148868450008,449,370
34,discrep,-0.6367573622792847,154,172
35,relativ,-0.39799056302863556,2611,2454
36,quant,0.4783645059590031,494,389
37,nonflu,-1.2079291454809962,36,66
38,adj,1.4098578752573154,1200,843
39,prep,1.4723043627861412,3944,3189
40,friend,-0.23516242006829052,31,34
41,function,0.5010907483720142,16416,14725
42,bio,1.2713893770097386,552,409
43,tentat,0.26067881070534304,648,533
44,risk,-0.030413446838177968,55,40
45,power,0.11304405110822302,436,381
46,interrog,0.41456748456740256,386,301
47,social,-1.6430286776304825,596,720
48,drives,-1.4077292963773103,1386,1502
49,leisure,-3.5939262950743776,49,176
50,we,-0.9086006403124531,49,81
51,verb,-0.3453772619441917,4400,4039
52,hear,-0.2832298239059593,23,26
53,focuspast,-1.5077179025572607,206,338
54,they,-0.649733716283435,35,60
55,article,1.0292014049813023,1352,1050
56,you,-0.7062254073990374,20,15
57,male,-0.25817256891161494,62,43
58,ipron,1.4308648273026938,1344,924
59,i,-0.22485675062750904,3900,3863
60,cause,0.26985770508898277,431,371
61,work,-1.9970638533855891,202,308
62,see,3.9246680732703765,284,42
63,ingest,0.3441159740434422,18,8
64,motion,-0.31941507100539346,247,239
65,filler,0.11447040004647242,1,0
66,achiev,-1.313029834359561,345,427
67,swear,-0.04664088552480429,2,1
68,focusfuture,-0.658582338624197,183,209
69,time,0.4445692474908354,893,746
70,auxverb,-0.4582079797123294,2030,1893
71,reward,0.2776505255566351,406,338
72,shehe,-0.5385370186318199,3,7
73,pro1,-0.3053706120345655,3949,3944
