,liwc,delta,a,b
0,relig,0.011988765137437974,1,0
1,body,1.3774064113394018,70,9
2,compare,1.3897584276123984,1111,851
3,money,0.5667123247563817,48,26
4,pronoun,-0.34761142343198204,5351,4940
5,feel,1.8148053205851067,1207,1023
6,certain,1.748705555097964,441,243
7,insight,-0.29454489784043275,1314,1266
8,assent,-0.15801541871079344,3,3
9,number,1.8631731819993962,216,96
10,negate,-0.632904499501785,620,634
11,sad,-0.19059529392499158,80,77
12,affiliation,-0.19558128931364305,212,189
13,cogproc,-0.5864106834956003,3945,3710
14,female,0.126893961903544,63,21
15,affect,-0.373052063556022,895,814
16,anger,0.031453800389725395,17,8
17,home,-0.0911142527638705,48,45
18,conj,0.38335317490926274,1981,1674
19,sexual,-0.13760433018036322,0,0
20,negemo,-0.1135282491000937,366,325
21,ppron,-0.7648296703492438,4007,3864
22,differ,-1.141492509365731,1241,1296
23,death,-0.0678245058776363,2,2
24,family,0.14878670233443195,43,30
25,adverb,-0.5498178023571499,1910,1835
26,space,-1.4332466744536103,1460,1555
27,informal,-1.0918728984989405,57,104
28,posemo,-0.42141283362512283,479,447
29,anx,0.32629362217113733,197,172
30,focuspresent,0.7877000080436792,3572,2972
31,netspeak,-0.13015462609681602,1,1
32,percept,2.4960232361130705,1515,1156
33,health,0.14948932039898635,449,420
34,discrep,-0.7508520160159987,154,174
35,relativ,-0.7167340247675287,2611,2480
36,quant,0.22419741255534634,494,407
37,nonflu,-1.7279718871703216,36,80
38,adj,0.9813049738968319,1200,891
39,prep,0.7709945829743547,3944,3314
40,friend,-0.2668884749642889,31,34
41,function,0.34275780335865713,16416,14511
42,bio,0.7852169983210668,552,445
43,tentat,-1.3031168544079956,648,733
44,risk,-0.14539643160831678,55,44
45,power,-1.0414367068268078,436,491
46,interrog,0.25167344444240203,386,309
47,social,-0.8154352219134416,596,438
48,drives,-0.6866379318772965,1386,1340
49,leisure,0.3477607453844225,49,31
50,we,0.06597529978642105,49,37
51,verb,0.15842030127722917,4400,3785
52,hear,-0.293992732886784,23,24
53,focuspast,-0.612316503939879,206,188
54,they,-0.03646709212110485,35,17
55,article,1.0887564020409817,1352,1015
56,you,-0.9052949864731339,20,24
57,male,-0.22314626120908407,62,30
58,ipron,0.4599393471854548,1344,1076
59,i,0.31904318452311015,3900,3782
60,cause,1.0128869227473214,431,296
61,work,-1.8504429260888724,202,296
62,see,2.711829160785742,284,108
63,ingest,0.2813082222428299,18,9
64,motion,-0.25637068179551925,247,225
65,filler,0.10877430625093124,1,0
66,achiev,-0.5684850954925844,345,358
67,swear,-0.020226568003681403,2,0
68,focusfuture,-0.45952841150139545,183,184
69,time,0.5741524404696168,893,711
70,auxverb,0.3944292435900889,2030,1642
71,reward,0.3479912069966763,406,323
72,shehe,-0.6155660102343118,3,4
73,pro1,1.0501049101748854,3949,3819
