,liwc,delta,a,b
0,relig,0.08293969817143881,1,0
1,body,0.4640287965096846,24,7
2,compare,-1.6922588202375757,728,952
3,money,1.4420316574478163,86,41
4,pronoun,-0.45101718607337166,4950,5144
5,feel,-1.9940938814543931,919,1085
6,certain,-1.220276594909204,318,433
7,insight,-1.7542824918086461,1059,1299
8,assent,0.17134496495642598,5,0
9,number,0.8747035363561948,149,102
10,negate,-1.4836747386707094,556,710
11,sad,0.14412395738131736,89,83
12,affiliation,2.0123977044915375,387,206
13,cogproc,-1.4747455605576758,3346,3788
14,female,0.15447798601963977,35,26
15,affect,-0.22089126391902125,863,916
16,anger,0.04606019992387664,8,7
17,home,2.743556178486445,184,80
18,conj,0.7542125604053216,1870,1736
19,sexual,0.01483379461549138,0,0
20,negemo,1.043110562638652,370,268
21,ppron,0.025164012158372544,4026,4056
22,differ,-0.0732660482299944,1120,1145
23,death,0.00738650673070287,4,4
24,family,2.51964159676253,176,74
25,adverb,2.201671441632575,1939,1547
26,space,0.1868135409598923,1480,1464
27,informal,0.11629497270999724,100,95
28,posemo,-1.2303923375187047,439,613
29,anx,2.22557475071186,227,127
30,focuspresent,-0.33435618925969957,3230,3362
31,netspeak,0.014011031998309572,0,0
32,percept,-1.3618168254033223,987,1150
33,health,0.22595091188016372,370,358
34,discrep,0.275606872057939,172,147
35,relativ,0.4803170870231057,2454,2371
36,quant,-0.1558283863976867,389,413
37,nonflu,-0.7632171554481358,66,88
38,adj,0.29971744914691906,843,808
39,prep,-0.589860293369416,3189,3397
40,friend,0.0975496001042607,34,31
41,function,-0.07728159806688986,14725,14949
42,bio,0.38021497884347616,409,380
43,tentat,-0.628800818812659,533,630
44,risk,0.20492206519341621,40,29
45,power,-0.6547718034323237,381,454
46,interrog,0.6261591727655862,301,243
47,social,1.0890446767166966,720,471
48,drives,0.19836922051543038,1502,1484
49,leisure,2.6794388086780594,176,77
50,we,1.2396064346770386,81,28
51,verb,0.37924039724114483,4039,3979
52,hear,0.08283194075599236,26,23
53,focuspast,0.7765533855608789,338,235
54,they,0.24989423744060482,60,46
55,article,0.12228058629845452,1050,1045
56,you,0.10654148703005646,15,13
57,male,-0.00933897547329108,43,50
58,ipron,-0.7700330221801275,924,1088
59,i,-0.7501491709661133,3863,3966
60,cause,0.570831284991337,371,323
61,work,0.04864797048348914,308,307
62,see,0.08307470777595131,42,39
63,ingest,0.23352457881938857,8,3
64,motion,0.7286475896770169,239,173
65,filler,0.003636562455280515,0,0
66,achiev,0.5385310362054795,427,385
67,swear,0.056375244026729464,1,0
68,focusfuture,0.6510653540985367,209,154
69,time,0.18197682834861068,746,731
70,auxverb,-0.11846218924715653,1893,1953
71,reward,-1.680158847895399,338,511
72,shehe,0.09809745626312315,7,3
73,pro1,-0.5166233158086764,3944,3994
