,liwc,delta,a,b
0,relig,0.053495823306040004,1,1
1,body,-1.0172790597134118,24,70
2,compare,-2.467372069719189,728,1111
3,money,1.3281164324756174,86,48
4,pronoun,0.09838066908162267,4950,5351
5,feel,-3.166455727691143,919,1207
6,certain,-0.9846462271837084,318,441
7,insight,-1.3937529206487838,1059,1314
8,assent,0.19336719131719968,5,3
9,number,-0.9533636244305351,149,216
10,negate,-0.23244892458996616,556,620
11,sad,0.3839922503162535,89,80
12,affiliation,2.275189557951325,387,212
13,cogproc,-1.0022907831762984,3346,3945
14,female,-0.018259821300417645,35,63
15,affect,0.5209709545892965,863,895
16,anger,-0.06394510968395557,8,17
17,home,3.751353270660344,184,48
18,conj,0.3723386077771171,1870,1981
19,sexual,0.11460307042320735,0,0
20,negemo,0.464076292278851,370,366
21,ppron,1.1845232731068367,4026,4007
22,differ,-0.10606424940494119,1120,1241
23,death,0.19964495648251326,4,2
24,family,3.450215953668369,176,43
25,adverb,0.9470691938242896,1939,1910
26,space,0.8611674293873772,1480,1460
27,informal,0.9759074800571633,100,57
28,posemo,0.2505563219975358,439,479
29,anx,0.8374754801696876,227,197
30,focuspresent,-0.06734712427496552,3230,3572
31,netspeak,0.07085750387367952,0,1
32,percept,-4.06921979046623,987,1515
33,health,-1.0014148868450008,370,449
34,discrep,0.6367573622792847,172,154
35,relativ,0.39799056302863556,2454,2611
36,quant,-0.4783645059590031,389,494
37,nonflu,1.2079291454809962,66,36
38,adj,-1.4098578752573154,843,1200
39,prep,-1.4723043627861412,3189,3944
40,friend,0.23516242006829052,34,31
41,function,-0.5010907483720142,14725,16416
42,bio,-1.2713893770097386,409,552
43,tentat,-0.26067881070534304,533,648
44,risk,0.030413446838177968,40,55
45,power,-0.11304405110822302,381,436
46,interrog,-0.41456748456740256,301,386
47,social,1.6430286776304825,720,596
48,drives,1.4077292963773103,1502,1386
49,leisure,3.5939262950743776,176,49
50,we,0.9086006403124531,81,49
51,verb,0.3453772619441917,4039,4400
52,hear,0.2832298239059593,26,23
53,focuspast,1.5077179025572607,338,206
54,they,0.649733716283435,60,35
55,article,-1.0292014049813023,1050,1352
56,you,0.7062254073990374,15,20
57,male,0.25817256891161494,43,62
58,ipron,-1.4308648273026938,924,1344
59,i,0.22485675062750904,3863,3900
60,cause,-0.26985770508898277,371,431
61,work,1.9970638533855891,308,202
62,see,-3.9246680732703765,42,284
63,ingest,-0.3441159740434422,8,18
64,motion,0.31941507100539346,239,247
65,filler,-0.11447040004647242,0,1
66,achiev,1.313029834359561,427,345
67,swear,0.04664088552480429,1,2
68,focusfuture,0.658582338624197,209,183
69,time,-0.4445692474908354,746,893
70,auxverb,0.4582079797123294,1893,2030
71,reward,-0.2776505255566351,338,406
72,shehe,0.5385370186318199,7,3
73,pro1,0.3053706120345655,3944,3949
