,liwc,delta,a,b
0,relig,0.06532975216125951,1,0
1,body,0.36017089041630873,24,9
2,compare,-1.0746845352620233,728,851
3,money,1.8890536742699564,86,26
4,pronoun,-0.2487668392448527,4950,4940
5,feel,-1.3487808639288323,919,1023
6,certain,0.7631140914929329,318,243
7,insight,-1.684322130558077,1059,1266
8,assent,0.035201923906339874,5,3
9,number,0.9089181114808788,149,96
10,negate,-0.8634943902472211,556,634
11,sad,0.19285004407232265,89,77
12,affiliation,2.074443896396653,387,189
13,cogproc,-1.5850819227486135,3346,3710
14,female,0.10842262185416192,35,21
15,affect,0.14740722817253835,863,814
16,anger,-0.032399798618475674,8,8
17,home,3.651212500622803,184,45
18,conj,0.7540109692750737,1870,1674
19,sexual,-0.02300125975715587,0,0
20,negemo,0.34964789411881425,370,325
21,ppron,0.41836192136201367,4026,3864
22,differ,-1.24497335358625,1120,1296
23,death,0.13147528549593424,4,2
24,family,3.5885838776704198,176,30
25,adverb,0.39606171866322615,1939,1835
26,space,-0.5712750774063651,1480,1555
27,informal,-0.11614431168115212,100,104
28,posemo,-0.17061231608584607,439,447
29,anx,1.1609088787338115,227,172
30,focuspresent,0.7189301701946116,3230,2972
31,netspeak,-0.05920581766886422,0,1
32,percept,-1.5695370105563256,987,1156
33,health,-0.8498603307572113,370,420
34,discrep,-0.11412271074736707,172,174
35,relativ,-0.31825978060348853,2454,2480
36,quant,-0.2534637300950157,389,407
37,nonflu,-0.5205718927545054,66,80
38,adj,-0.4271396238562686,843,891
39,prep,-0.6993107080650448,3189,3314
40,friend,-0.03175747202358046,34,34
41,function,-0.1578091448123682,14725,14511
42,bio,-0.4847473746286599,409,445
43,tentat,-1.5604864655126487,533,733
44,risk,-0.11476257662775566,40,44
45,power,-1.1520721862160754,381,491
46,interrog,-0.16239933396858314,301,309
47,social,0.8252494092426993,720,438
48,drives,0.7190614470130425,1502,1340
49,leisure,3.9280800484700915,176,31
50,we,0.9721636547832452,81,37
51,verb,0.5026381884329331,4039,3785
52,hear,-0.010856088390337021,26,24
53,focuspast,0.8929832454588263,338,188
54,they,0.611750586528153,60,17
55,article,0.05986047026074144,1050,1015
56,you,-0.19895362504620553,15,24
57,male,0.03485028836069364,43,30
58,ipron,-0.9684159034338902,924,1076
59,i,0.5427077865629643,3863,3782
60,cause,0.7416818857532111,371,296
61,work,0.145641031683161,308,296
62,see,-1.2123911462730534,42,108
63,ingest,-0.06255283774360405,8,9
64,motion,0.06278675736273093,239,225
65,filler,-0.005638845168742514,0,0
66,achiev,0.7425377483975452,427,358
67,swear,0.026341823817079994,1,0
68,focusfuture,0.19838535878049918,209,184
69,time,0.1295068775086696,746,711
70,auxverb,0.8507247713467708,1893,1642
71,reward,0.07031380089001808,338,323
72,shehe,-0.07709183430761501,7,4
73,pro1,1.3525847574676988,3944,3819
