,liwc,delta,a,b
0,relig,0.017559269801487247,0,0
1,body,0.10358217430913108,9,7
2,compare,-0.6166695484733442,851,952
3,money,-0.4492663258034906,26,41
4,pronoun,-0.20200177248258797,4940,5144
5,feel,-0.6443908527062299,1023,1085
6,certain,-1.9828762414206005,243,433
7,insight,-0.06882886988573368,1266,1299
8,assent,0.1360648458104599,3,0
9,number,-0.034826556677650604,96,102
10,negate,-0.619423759736234,634,710
11,sad,-0.04883616417093709,77,83
12,affiliation,-0.06346692205242101,189,206
13,cogproc,0.11134983235652895,3710,3788
14,female,0.04596401214795387,21,26
15,affect,-0.36824644558517655,814,916
16,anger,0.07844975030593637,8,7
17,home,-0.9156605378149159,45,80
18,conj,-0.0003049693067810026,1674,1736
19,sexual,0.037835054372647246,0,0
20,negemo,0.692966411655762,325,268
21,ppron,-0.3933177796945862,3864,4056
22,differ,1.1720688876920984,1296,1145
23,death,-0.1241265616561297,2,4
24,family,-1.0763780431798045,30,74
25,adverb,1.8046504298626456,1835,1547
26,space,0.758161543978552,1555,1464
27,informal,0.23242204230483104,104,95
28,posemo,-1.0592422767073768,447,613
29,anx,1.0645974771141122,172,127
30,focuspresent,-1.053334372987417,2972,3362
31,netspeak,0.07322667163262704,1,0
32,percept,0.2087025947069007,1156,1150
33,health,1.0759034281435,420,358
34,discrep,0.3896471515431528,174,147
35,relativ,0.7984643361544428,2480,2371
36,quant,0.09776529231344867,407,413
37,nonflu,-0.24231090306057443,80,88
38,adj,0.7268457481143181,891,808
39,prep,0.1098734914472847,3314,3397
40,friend,0.12927565500025912,34,31
41,function,0.08060038648811682,14511,14949
42,bio,0.8649206137795596,445,380
43,tentat,0.9323875038532888,733,630
44,risk,0.3196305102283424,44,29
45,power,0.49789468839104345,491,454
46,interrog,0.788342361167347,309,243
47,social,0.263136055890894,438,471
48,drives,-0.5209635160446222,1340,1484
49,leisure,-1.2597676108934754,31,77
50,we,0.26681488539792253,37,28
51,verb,-0.12368453918132308,3785,3979
52,hear,0.09365719155402029,24,23
53,focuspast,-0.11698648350539328,188,235
54,they,-0.36213121984541513,17,46
55,article,0.06235462149806781,1015,1045
56,you,0.3055039537557042,24,13
57,male,-0.04419458969216747,30,50
58,ipron,0.19895118746665497,1076,1088
59,i,-1.2926588308033151,3782,3966
60,cause,-0.1712880668927214,296,323
61,work,-0.0970512647988457,296,307
62,see,1.2957234201592698,108,39
63,ingest,0.2959932143976717,9,3
64,motion,0.6655519697068225,225,173
65,filler,0.009275407624023029,0,0
66,achiev,-0.20443366947980282,358,385
67,swear,0.03000361035594196,0,0
68,focusfuture,0.4523689938560611,184,154
69,time,0.05236184551755103,711,731
70,auxverb,-0.9693591231902927,1642,1953
71,reward,-1.7497759692812844,323,511
72,shehe,0.17516960494252287,4,3
73,pro1,-1.8691902787439758,3819,3994
