,liwc,delta,a,b
0,relig,-0.011988765137437974,0,1
1,body,-1.3774064113394018,9,70
2,compare,-1.3897584276123984,851,1111
3,money,-0.5667123247563817,26,48
4,pronoun,0.34761142343198204,4940,5351
5,feel,-1.8148053205851067,1023,1207
6,certain,-1.748705555097964,243,441
7,insight,0.29454489784043275,1266,1314
8,assent,0.15801541871079344,3,3
9,number,-1.8631731819993962,96,216
10,negate,0.632904499501785,634,620
11,sad,0.19059529392499158,77,80
12,affiliation,0.19558128931364305,189,212
13,cogproc,0.5864106834956003,3710,3945
14,female,-0.126893961903544,21,63
15,affect,0.373052063556022,814,895
16,anger,-0.031453800389725395,8,17
17,home,0.0911142527638705,45,48
18,conj,-0.38335317490926274,1674,1981
19,sexual,0.13760433018036322,0,0
20,negemo,0.1135282491000937,325,366
21,ppron,0.7648296703492438,3864,4007
22,differ,1.141492509365731,1296,1241
23,death,0.0678245058776363,2,2
24,family,-0.14878670233443195,30,43
25,adverb,0.5498178023571499,1835,1910
26,space,1.4332466744536103,1555,1460
27,informal,1.0918728984989405,104,57
28,posemo,0.42141283362512283,447,479
29,anx,-0.32629362217113733,172,197
30,focuspresent,-0.7877000080436792,2972,3572
31,netspeak,0.13015462609681602,1,1
32,percept,-2.4960232361130705,1156,1515
33,health,-0.14948932039898635,420,449
34,discrep,0.7508520160159987,174,154
35,relativ,0.7167340247675287,2480,2611
36,quant,-0.22419741255534634,407,494
37,nonflu,1.7279718871703216,80,36
38,adj,-0.9813049738968319,891,1200
39,prep,-0.7709945829743547,3314,3944
40,friend,0.2668884749642889,34,31
41,function,-0.34275780335865713,14511,16416
42,bio,-0.7852169983210668,445,552
43,tentat,1.3031168544079956,733,648
44,risk,0.14539643160831678,44,55
45,power,1.0414367068268078,491,436
46,interrog,-0.25167344444240203,309,386
47,social,0.8154352219134416,438,596
48,drives,0.6866379318772965,1340,1386
49,leisure,-0.3477607453844225,31,49
50,we,-0.06597529978642105,37,49
51,verb,-0.15842030127722917,3785,4400
52,hear,0.293992732886784,24,23
53,focuspast,0.612316503939879,188,206
54,they,0.03646709212110485,17,35
55,article,-1.0887564020409817,1015,1352
56,you,0.9052949864731339,24,20
57,male,0.22314626120908407,30,62
58,ipron,-0.4599393471854548,1076,1344
59,i,-0.31904318452311015,3782,3900
60,cause,-1.0128869227473214,296,431
61,work,1.8504429260888724,296,202
62,see,-2.711829160785742,108,284
63,ingest,-0.2813082222428299,9,18
64,motion,0.25637068179551925,225,247
65,filler,-0.10877430625093124,0,1
66,achiev,0.5684850954925844,358,345
67,swear,0.020226568003681403,0,2
68,focusfuture,0.45952841150139545,184,183
69,time,-0.5741524404696168,711,893
70,auxverb,-0.3944292435900889,1642,2030
71,reward,-0.3479912069966763,323,406
72,shehe,0.6155660102343118,4,3
73,pro1,-1.0501049101748854,3819,3949
