,liwc,delta,a,b
0,relig,-0.06532975216125951,0,1
1,body,-0.36017089041630873,9,24
2,compare,1.0746845352620233,851,728
3,money,-1.8890536742699564,26,86
4,pronoun,0.2487668392448527,4940,4950
5,feel,1.3487808639288323,1023,919
6,certain,-0.7631140914929329,243,318
7,insight,1.684322130558077,1266,1059
8,assent,-0.035201923906339874,3,5
9,number,-0.9089181114808788,96,149
10,negate,0.8634943902472211,634,556
11,sad,-0.19285004407232265,77,89
12,affiliation,-2.074443896396653,189,387
13,cogproc,1.5850819227486135,3710,3346
14,female,-0.10842262185416192,21,35
15,affect,-0.14740722817253835,814,863
16,anger,0.032399798618475674,8,8
17,home,-3.651212500622803,45,184
18,conj,-0.7540109692750737,1674,1870
19,sexual,0.02300125975715587,0,0
20,negemo,-0.34964789411881425,325,370
21,ppron,-0.41836192136201367,3864,4026
22,differ,1.24497335358625,1296,1120
23,death,-0.13147528549593424,2,4
24,family,-3.5885838776704198,30,176
25,adverb,-0.39606171866322615,1835,1939
26,space,0.5712750774063651,1555,1480
27,informal,0.11614431168115212,104,100
28,posemo,0.17061231608584607,447,439
29,anx,-1.1609088787338115,172,227
30,focuspresent,-0.7189301701946116,2972,3230
31,netspeak,0.05920581766886422,1,0
32,percept,1.5695370105563256,1156,987
33,health,0.8498603307572113,420,370
34,discrep,0.11412271074736707,174,172
35,relativ,0.31825978060348853,2480,2454
36,quant,0.2534637300950157,407,389
37,nonflu,0.5205718927545054,80,66
38,adj,0.4271396238562686,891,843
39,prep,0.6993107080650448,3314,3189
40,friend,0.03175747202358046,34,34
41,function,0.1578091448123682,14511,14725
42,bio,0.4847473746286599,445,409
43,tentat,1.5604864655126487,733,533
44,risk,0.11476257662775566,44,40
45,power,1.1520721862160754,491,381
46,interrog,0.16239933396858314,309,301
47,social,-0.8252494092426993,438,720
48,drives,-0.7190614470130425,1340,1502
49,leisure,-3.9280800484700915,31,176
50,we,-0.9721636547832452,37,81
51,verb,-0.5026381884329331,3785,4039
52,hear,0.010856088390337021,24,26
53,focuspast,-0.8929832454588263,188,338
54,they,-0.611750586528153,17,60
55,article,-0.05986047026074144,1015,1050
56,you,0.19895362504620553,24,15
57,male,-0.03485028836069364,30,43
58,ipron,0.9684159034338902,1076,924
59,i,-0.5427077865629643,3782,3863
60,cause,-0.7416818857532111,296,371
61,work,-0.145641031683161,296,308
62,see,1.2123911462730534,108,42
63,ingest,0.06255283774360405,9,8
64,motion,-0.06278675736273093,225,239
65,filler,0.005638845168742514,0,0
66,achiev,-0.7425377483975452,358,427
67,swear,-0.026341823817079994,0,1
68,focusfuture,-0.19838535878049918,184,209
69,time,-0.1295068775086696,711,746
70,auxverb,-0.8507247713467708,1642,1893
71,reward,-0.07031380089001808,323,338
72,shehe,0.07709183430761501,4,7
73,pro1,-1.3525847574676988,3819,3944
