,liwc,delta,a,b
0,relig,-0.027461173671237182,1,1
1,body,-0.3363275958643563,50,60
2,compare,-0.18142986907641998,1828,1814
3,money,-0.6490128820217406,91,110
4,pronoun,0.058131916542464156,10323,10062
5,feel,1.0790168060032586,2177,2057
6,certain,1.1692693590707803,782,653
7,insight,0.766705089630245,2544,2394
8,assent,0.024610980207399352,7,4
9,number,0.5126102374630539,300,263
10,negate,-0.46848672433356375,1247,1273
11,sad,0.5917987768463829,183,146
12,affiliation,0.31076611799197307,521,473
13,cogproc,0.555500869096517,7565,7224
14,female,1.5238198788297157,141,4
15,affect,0.17596819447429304,1792,1696
16,anger,-0.08348998381341538,20,20
17,home,0.2991311612914025,186,171
18,conj,0.3881759622822829,3725,3536
19,sexual,-0.05882799963462537,0,0
20,negemo,-0.177302044246468,667,662
21,ppron,0.38363132538460126,8108,7845
22,differ,0.20204455846857208,2447,2355
23,death,-0.3110325258478696,4,8
24,family,0.2249036280980894,168,155
25,adverb,1.7121911314389626,3825,3406
26,space,0.3348802066285391,3048,2911
27,informal,-0.3589485399482533,171,185
28,posemo,0.3074472825038209,1030,948
29,anx,-0.691247110006414,347,376
30,focuspresent,-0.16890605629529468,6634,6502
31,netspeak,-0.055643333453296036,1,1
32,percept,0.16516088566819384,2431,2377
33,health,-0.9733372053279108,770,827
34,discrep,-0.39401210077434395,315,332
35,relativ,0.1678600463961591,5049,4867
36,quant,0.8563293870547646,915,788
37,nonflu,-0.39358464383058683,130,140
38,adj,0.23783309290805882,1924,1818
39,prep,-0.3782972651341678,6963,6881
40,friend,0.5713338261236219,78,52
41,function,-0.13795790315819736,30669,29932
42,bio,-0.8224160618062272,864,922
43,tentat,0.13025233842523756,1303,1241
44,risk,-0.5354994007478842,71,97
45,power,0.5572126723118593,923,839
46,interrog,-0.6884761050205752,595,644
47,social,-0.5947627850994144,1114,1111
48,drives,0.2594339252045067,2921,2791
49,leisure,0.4693207665651552,177,156
50,we,-0.5644563694212453,87,108
51,verb,-1.124927724316643,8045,8158
52,hear,-0.08391790980815113,49,47
53,focuspast,-0.6195269414375351,461,506
54,they,-0.2896596859731082,74,84
55,article,-0.6978677988048343,2203,2259
56,you,-0.31986272707156344,41,31
57,male,-1.9011801951047433,3,182
58,ipron,-0.4309087870896857,2215,2217
59,i,1.5429237588697922,7898,7613
60,cause,-0.6711265947996311,688,733
61,work,0.4913207184863366,577,536
62,see,-1.218854303318573,204,269
63,ingest,0.29742767222350175,23,15
64,motion,-0.430330702356395,431,453
65,filler,0.128281971319566,1,0
66,achiev,-0.08600504905317906,762,753
67,swear,-0.09130187262588726,1,2
68,focusfuture,-0.7964312650704727,337,393
69,time,0.1018414723860214,1571,1510
70,auxverb,-0.5619755593542753,3757,3761
71,reward,-0.14017669384469203,793,785
72,shehe,-0.2677485448599138,8,9
73,pro1,1.8603483394196003,7985,7721
