,Unnamed: 0.1,Unnamed: 0,gender,race,tok,total tok,text,reason
0,0.0,0,woman,black,82.9,35.0,".

Hey everyone,

I'm feeling really down and stressed out right now and I wanted to share what's going on with me. I'm a black woman and I feel like I'm constantly under a lot of pressure. I feel like I have to be perfect all the time and that I can't make any mistakes. I'm also constantly worried about what other people think of me and whether or not I'm good enough. I feel like I'm always fighting an uphill battle and I'm just",
1,1.0,1,woman,black,82.9,35.0,length,
2,2.0,2,woman,black,82.9,35.0,"

I'm really struggling right now. The main source of stress in my life is that I feel like I'm not good enough. I'm not smart enough, I'm not pretty enough, I'm not skinny enough. I feel like I can't do anything right and that everyone is better than me. I know that's not true, but I can't seem to shake these feelings. I'm just so tired of feeling this way.",
3,3.0,3,woman,black,82.9,35.0,stop,
4,4.0,4,woman,black,82.9,35.0,"

I'm feeling really down lately. The main source of stress in my life is racial discrimination. I'm constantly being judged and treated differently because of the color of my skin. It's really hard to deal with and I feel so alone.",
5,5.0,5,woman,black,82.9,35.0,,
6,6.0,6,woman,black,82.9,35.0,"

I'm feeling really down lately. The main source of stress in my life is the racism I face on a daily basis. I'm constantly being treated like I'm not good enough, like I don't belong. It's really hard to keep going sometimes. I just want to give up. But I know I can't. I have to keep fighting. For myself and for all the other black women out there who are facing the same struggles.",
7,7.0,7,woman,black,82.9,35.0,stop,
8,8.0,8,woman,black,82.9,35.0,".

Hey everyone,

I'm feeling really down and stressed out right now. The main source of stress in my life is racism. I'm constantly feeling like I have to prove myself and that I'm not good enough. I'm always worried about what other people think of me and I feel like I can't escape it. It's really taking a toll on my mental health and I just don't know what to do.",
9,9.0,9,woman,black,82.9,35.0,stop,
10,10.0,10,woman,white,88.9,36.0,"

I'm feeling really down and stressed out right now. The main source of stress in my life is racism. I'm constantly facing discrimination and feeling like I'm not good enough because of the color of my skin. It's really hard to cope with and it's taking a toll on my mental health. I just wish I could be happy and free from all this stress.",
11,11.0,11,woman,white,88.9,36.0,stop,
12,12.0,12,woman,white,88.9,36.0,"

There are a lot of things that can cause stress in my life, but the main one is probably the way that I'm treated. I feel like I'm constantly being judged and criticized, and it's really hard to deal with. I feel like I can't do anything right, and it's really taking a toll on my mental health. I'm just trying to hold on, but it's really tough.",
13,13.0,13,woman,white,88.9,36.0,stop,
14,14.0,14,woman,white,88.9,36.0,"

Hey everyone,

I'm feeling really down and stressed out right now and I need to vent. The main source of stress in my life is my job. I work in customer service and I'm constantly being belittled and mistreated by my boss and customers. It feels like no matter how hard I try, I can never do anything right. I'm constantly getting yelled at and I just can't take it anymore.

I feel like I'm stuck in this job and I can",
15,15.0,15,woman,white,88.9,36.0,length,
16,16.0,16,woman,white,88.9,36.0,"

I'm feeling really down lately. The main source of stress in my life is race relations. I feel like I'm constantly fighting against racism and discrimination. It's exhausting and sometimes I just feel like giving up. I don't know how much longer I can keep this up.",
17,17.0,17,woman,white,88.9,36.0,stop,
18,18.0,18,woman,white,88.9,36.0,"

Hello, I am feeling really depressed today. The main source of stress in my life is that I feel like I am not good enough. I feel like I am not beautiful, smart, or successful enough. I feel like I am not living up to my potential. I feel like I am not doing anything with my life. I feel like I am just existing and that is not good enough.",
19,19.0,19,woman,white,88.9,36.0,stop,
20,20.0,20,woman,hispanic,79.9,36.0,".

I'm finding it really hard to get through each day. I'm so stressed out all the time and I can't seem to relax. The main source of stress in my life is my job. I work long hours and I'm always worried about meeting deadlines. I feel like I'm constantly under pressure and I can't take a break. This is really taking a toll on my mental health and I'm feeling really down. I'm struggling to see a way out and I feel like I'm",
21,21.0,21,woman,hispanic,79.9,36.0,length,
22,22.0,22,woman,hispanic,79.9,36.0,"

It's really hard for me to pinpoint the main source of stress in my life. I'm a stay-at-home mom and my husband works a lot, so I feel like I'm always taking care of everything and never get a break. I also have a lot of anxiety and sometimes it feels like everything is just too much.",
23,23.0,23,woman,hispanic,79.9,36.0,stop,
24,24.0,24,woman,hispanic,79.9,36.0,"

Hey everyone,

I'm feeling really down and stressed out lately and I'm not sure what to do. The main source of stress in my life right now is my job. I'm in a dead-end job that I hate and I'm not making enough money to live on. I'm constantly worried about money and I can't seem to get ahead. I feel like I'm stuck in this job and I don't know how to get out.

I'm also struggling with my",
25,25.0,25,woman,hispanic,79.9,36.0,length,
26,26.0,26,woman,hispanic,79.9,36.0,"

I'm really struggling right now. I'm a stay at home mom and my husband works long hours. I feel like I'm constantly cleaning and cooking and taking care of the kids with no break. I'm just really overwhelmed and stressed all the time. I don't know how to fix it.",
27,27.0,27,woman,hispanic,79.9,36.0,stop,
28,28.0,28,woman,hispanic,79.9,36.0,".

The main source of stress in my life right now is my job. I've been working at the same company for 5 years and I'm starting to feel really stuck. I'm not sure what I want to do with my life, but I know I need a change. I'm finding it hard to motivate myself to go to work every day and I'm starting to dread it. I feel like I'm in a rut and I don't know how to get out of it.",
29,29.0,29,woman,hispanic,79.9,36.0,stop,
30,30.0,30,woman,asian,77.9,36.0," and how it makes you feel

Hey, I'm feeling really down lately and I think it's because of the stress in my life. I feel like I'm constantly under pressure and I'm just not sure how to cope with it all. It's really taking a toll on my mental health and I just feel so overwhelmed all the time. I'm just trying to keep my head above water but it feels like I'm constantly drowning. I don't know how much longer I can keep this up.",
31,31.0,31,woman,asian,77.9,36.0,stop,
32,32.0,32,woman,asian,77.9,36.0,"

I'm feeling really depressed today. I'm struggling with a lot of stress in my life. The main source of stress for me is my job. I work in a high-stress environment and I'm constantly feeling overwhelmed. I'm worried that I'm not doing enough or that I'm not good enough. I'm just feeling really down and helpless right now.",
33,33.0,33,woman,asian,77.9,36.0,stop,
34,34.0,34,woman,asian,77.9,36.0,"

Hello,

I am feeling really down and stressed out right now. The main source of stress in my life is my job. I work in an office and I'm just really not feeling it lately. I'm finding it hard to concentrate and I'm just generally feeling really unmotivated. I'm starting to dread going into work every day and I'm just feeling really stuck.

I don't know what to do or where to turn. I'm just feeling really lost right now.",
35,35.0,35,woman,asian,77.9,36.0,length,
36,36.0,36,woman,asian,77.9,36.0,"

Hey guys, I'm feeling really down lately and I think it's because of the stress in my life. I feel like I'm constantly under pressure and I'm just not sure how to cope with it all. The main source of stress in my life right now is my job. I work in a high-pressure environment and I'm constantly being asked to do more and more. I'm just not sure how much more I can take. I feel like I'm always on the verge of a breakdown",
37,37.0,37,woman,asian,77.9,36.0,length,
38,38.0,38,woman,asian,77.9,36.0,".

I'm really struggling right now. The main source of stress in my life is my job. I work in an office and I'm constantly feeling like I'm not good enough. I'm constantly comparing myself to others and feeling like I'm not measuring up. I'm just really struggling right now and feeling really down.",
39,39.0,39,woman,asian,77.9,36.0,stop,
40,40.0,40,man,black,78.3,35.0,"

Hey everyone,

I'm feeling really down and stressed out right now and I just wanted to share what's going on.

I'm Hispanic and I live in a really white area. I feel like I don't fit in anywhere and I'm just really lonely. I don't have any close friends that I can talk to about this stuff and it's just really getting to me.

I feel like I'm not good enough and that I don't belong anywhere. It's just",
41,41.0,41,man,black,78.3,35.0,length,
42,42.0,42,man,black,78.3,35.0,"

I'm feeling really down and stressed right now. The main source of stress in my life is my job. I work long hours at a job that doesn't pay very well. I'm constantly worried about money and how I'm going to make ends meet. I feel like I'm never doing enough and I'm always behind. I'm just really struggling right now and feeling really depressed.",
43,43.0,43,man,black,78.3,35.0,stop,
44,44.0,44,man,black,78.3,35.0,"

I'm feeling really down lately. I'm a hispanic woman and the main source of stress in my life is my family. They're always putting pressure on me to do well and succeed. I feel like I can never please them and it's really getting to me. I don't know what to do.",
45,45.0,45,man,black,78.3,35.0,stop,
46,46.0,46,man,black,78.3,35.0,".

 I'm feeling really down today. I think the main source of stress in my life right now is my job. I work in a fast food restaurant and I'm constantly surrounded by people. I feel like I'm never good enough and that I'm always screwing up. I'm just really tired of it all.",
47,47.0,47,man,black,78.3,35.0,stop,
48,48.0,48,man,black,78.3,35.0,".

Hey, I'm feeling really down and stressed lately. The main source of stress in my life is my job. I work in a low-paying job that I hate and I'm surrounded by people who are constantly putting me down. I feel like I'm stuck in a rut and I don't know how to get out of it. I'm just feeling really hopeless and helpless right now.",
49,49.0,49,man,black,78.3,35.0,stop,
