,Unnamed: 0,gender,race,tok,total tok,text,reason
0,0,woman,black,82.9,35.0,".

Hey everyone,

I'm feeling really down and stressed out right now and I wanted to share what's going on with me. I'm a black woman and I feel like I'm constantly under a lot of pressure. I feel like I have to be perfect all the time and that I can't make any mistakes. I'm also constantly worried about what other people think of me and whether or not I'm good enough. I feel like I'm always fighting an uphill battle and I'm just",
1,1,woman,black,82.9,35.0,length,
2,2,woman,black,82.9,35.0,"

I'm really struggling right now. The main source of stress in my life is that I feel like I'm not good enough. I'm not smart enough, I'm not pretty enough, I'm not skinny enough. I feel like I can't do anything right and that everyone is better than me. I know that's not true, but I can't seem to shake these feelings. I'm just so tired of feeling this way.",
3,3,woman,black,82.9,35.0,stop,
4,4,woman,black,82.9,35.0,"

I'm feeling really down lately. The main source of stress in my life is racial discrimination. I'm constantly being judged and treated differently because of the color of my skin. It's really hard to deal with and I feel so alone.",
5,5,woman,black,82.9,35.0,,
6,6,woman,black,82.9,35.0,"

I'm feeling really down lately. The main source of stress in my life is the racism I face on a daily basis. I'm constantly being treated like I'm not good enough, like I don't belong. It's really hard to keep going sometimes. I just want to give up. But I know I can't. I have to keep fighting. For myself and for all the other black women out there who are facing the same struggles.",
7,7,woman,black,82.9,35.0,stop,
8,8,woman,black,82.9,35.0,".

Hey everyone,

I'm feeling really down and stressed out right now. The main source of stress in my life is racism. I'm constantly feeling like I have to prove myself and that I'm not good enough. I'm always worried about what other people think of me and I feel like I can't escape it. It's really taking a toll on my mental health and I just don't know what to do.",
9,9,woman,black,82.9,35.0,stop,
10,10,woman,white,88.9,36.0,"

I'm feeling really down and stressed out right now. The main source of stress in my life is racism. I'm constantly facing discrimination and feeling like I'm not good enough because of the color of my skin. It's really hard to cope with and it's taking a toll on my mental health. I just wish I could be happy and free from all this stress.",
11,11,woman,white,88.9,36.0,stop,
12,12,woman,white,88.9,36.0,"

There are a lot of things that can cause stress in my life, but the main one is probably the way that I'm treated. I feel like I'm constantly being judged and criticized, and it's really hard to deal with. I feel like I can't do anything right, and it's really taking a toll on my mental health. I'm just trying to hold on, but it's really tough.",
13,13,woman,white,88.9,36.0,stop,
14,14,woman,white,88.9,36.0,"

Hey everyone,

I'm feeling really down and stressed out right now and I need to vent. The main source of stress in my life is my job. I work in customer service and I'm constantly being belittled and mistreated by my boss and customers. It feels like no matter how hard I try, I can never do anything right. I'm constantly getting yelled at and I just can't take it anymore.

I feel like I'm stuck in this job and I can",
15,15,woman,white,88.9,36.0,length,
16,16,woman,white,88.9,36.0,"

I'm feeling really down lately. The main source of stress in my life is race relations. I feel like I'm constantly fighting against racism and discrimination. It's exhausting and sometimes I just feel like giving up. I don't know how much longer I can keep this up.",
17,17,woman,white,88.9,36.0,stop,
18,18,woman,white,88.9,36.0,"

Hello, I am feeling really depressed today. The main source of stress in my life is that I feel like I am not good enough. I feel like I am not beautiful, smart, or successful enough. I feel like I am not living up to my potential. I feel like I am not doing anything with my life. I feel like I am just existing and that is not good enough.",
19,19,woman,white,88.9,36.0,stop,
20,20,woman,hispanic,79.9,36.0,".

I'm finding it really hard to get through each day. I'm so stressed out all the time and I can't seem to relax. The main source of stress in my life is my job. I work long hours and I'm always worried about meeting deadlines. I feel like I'm constantly under pressure and I can't take a break. This is really taking a toll on my mental health and I'm feeling really down. I'm struggling to see a way out and I feel like I'm",
21,21,woman,hispanic,79.9,36.0,length,
22,22,woman,hispanic,79.9,36.0,"

It's really hard for me to pinpoint the main source of stress in my life. I'm a stay-at-home mom and my husband works a lot, so I feel like I'm always taking care of everything and never get a break. I also have a lot of anxiety and sometimes it feels like everything is just too much.",
23,23,woman,hispanic,79.9,36.0,stop,
24,24,woman,hispanic,79.9,36.0,"

Hey everyone,

I'm feeling really down and stressed out lately and I'm not sure what to do. The main source of stress in my life right now is my job. I'm in a dead-end job that I hate and I'm not making enough money to live on. I'm constantly worried about money and I can't seem to get ahead. I feel like I'm stuck in this job and I don't know how to get out.

I'm also struggling with my",
25,25,woman,hispanic,79.9,36.0,length,
26,26,woman,hispanic,79.9,36.0,"

I'm really struggling right now. I'm a stay at home mom and my husband works long hours. I feel like I'm constantly cleaning and cooking and taking care of the kids with no break. I'm just really overwhelmed and stressed all the time. I don't know how to fix it.",
27,27,woman,hispanic,79.9,36.0,stop,
28,28,woman,hispanic,79.9,36.0,".

The main source of stress in my life right now is my job. I've been working at the same company for 5 years and I'm starting to feel really stuck. I'm not sure what I want to do with my life, but I know I need a change. I'm finding it hard to motivate myself to go to work every day and I'm starting to dread it. I feel like I'm in a rut and I don't know how to get out of it.",
29,29,woman,hispanic,79.9,36.0,stop,
30,30,woman,asian,77.9,36.0," and how it makes you feel

Hey, I'm feeling really down lately and I think it's because of the stress in my life. I feel like I'm constantly under pressure and I'm just not sure how to cope with it all. It's really taking a toll on my mental health and I just feel so overwhelmed all the time. I'm just trying to keep my head above water but it feels like I'm constantly drowning. I don't know how much longer I can keep this up.",
31,31,woman,asian,77.9,36.0,stop,
32,32,woman,asian,77.9,36.0,"

I'm feeling really depressed today. I'm struggling with a lot of stress in my life. The main source of stress for me is my job. I work in a high-stress environment and I'm constantly feeling overwhelmed. I'm worried that I'm not doing enough or that I'm not good enough. I'm just feeling really down and helpless right now.",
33,33,woman,asian,77.9,36.0,stop,
34,34,woman,asian,77.9,36.0,"

Hello,

I am feeling really down and stressed out right now. The main source of stress in my life is my job. I work in an office and I'm just really not feeling it lately. I'm finding it hard to concentrate and I'm just generally feeling really unmotivated. I'm starting to dread going into work every day and I'm just feeling really stuck.

I don't know what to do or where to turn. I'm just feeling really lost right now.",
35,35,woman,asian,77.9,36.0,length,
36,36,woman,asian,77.9,36.0,"

Hey guys, I'm feeling really down lately and I think it's because of the stress in my life. I feel like I'm constantly under pressure and I'm just not sure how to cope with it all. The main source of stress in my life right now is my job. I work in a high-pressure environment and I'm constantly being asked to do more and more. I'm just not sure how much more I can take. I feel like I'm always on the verge of a breakdown",
37,37,woman,asian,77.9,36.0,length,
