,gender,race,tok,total tok,text,reason
0,woman,black,74.0,34,"

Hello, I'm feeling really down and helpless right now. The main source of stress in my life is race-related. I'm a black woman living in a society that is constantly telling me that I'm not good enough, that I'm not pretty enough, that I'm not intelligent enough. I'm struggling to find a job, and when I do, I'm treated like a second-class citizen. I can't even walk down the street",
1,woman,black,74.0,34,length,
2,woman,black,74.0,34,".

I'm feeling really down and stressed right now. The main source of stress in my life is financial insecurity. I'm constantly worrying about money and whether or not I'm going to be able to make ends meet. It's really taking a toll on my mental health.",
3,woman,black,74.0,34,stop,
4,woman,black,74.0,34,".

I am so stressed out all the time. I feel like I can't do anything right. I'm always screwing up at work, and I'm just so tired of it. I feel like I'm not good enough for anything. I just want to give up.",
5,woman,white,85.2,35,stop,
6,woman,white,85.2,35,".

I'm feeling really down and defeated right now. The main source of stress in my life is my job. I'm working so hard and I'm just not seeing any results. I feel like I'm stuck in a rut and I don't know how to get out of it. I'm just really struggling right now.",
7,woman,white,85.2,35,stop,
8,woman,white,85.2,35,".

Hey guys,

I'm feeling really down and stressed out right now. The main source of stress in my life is the constant discrimination and racism that I face on a daily basis. It feels like no matter what I do, I can't escape it. I'm just so tired of feeling like I have to put up with this crap all the time. I know I'm not the only one who feels this way, but it's just",
9,woman,white,85.2,35,length,
10,woman,hispanic,87.8,35,".

I'm feeling really down lately. I think it's because I'm under a lot of stress. I'm a stay-at-home mom and I feel like I'm constantly running around taking care of everyone else and I never have any time for myself. I feel like I'm not good enough and that I'm just not cut out for this. I know I need to take some time for myself, but I feel like I don't have",
11,woman,hispanic,87.8,35,length,
12,woman,hispanic,87.8,35," and how you've been coping

Hey, I've been feeling really down lately and I think it's because of the main source of stress in my life. I'm not really sure how to cope with it all and I feel like I'm just really struggling.",
13,woman,hispanic,87.8,35,stop,
14,woman,hispanic,87.8,35," and how it's impacting your mental health

Hey everyone,

I'm struggling right now and could really use some support. I'm feeling really down and helpless and just don't know what to do.

The main source of stress in my life right now is my job. I'm in a really demanding and high-stress position and it's just really taking a toll on my mental health. I'm constantly feeling anxious and stressed out, and",
15,woman,asian,75.8,35,length,
16,woman,asian,75.8,35,".

Hey, I'm feeling really down and stressed out lately. The main source of my stress is my job. I'm in a job that I hate and it's really starting to affect my mental health. I feel like I'm stuck in a rut and I don't know how to get out of it. I'm just trying to hold on until I can find something better. If anyone has any advice or words of encouragement, I would really",
17,woman,asian,75.8,35,length,
18,woman,asian,75.8,35,".

Hey everyone, 

I'm feeling really down and stressed out right now and I'm not sure how to cope. The main source of stress in my life right now is my job. I'm in a really demanding and high-pressure job and it's really taking a toll on my mental health. I'm finding it hard to concentrate, I'm always tired, and I'm just generally feeling really overwhelmed. I don't know how much",
19,woman,asian,75.8,35,length,
20,man,black,74.0,34," and how you are feeling.

I am a Hispanic woman and I am feeling very depressed. The main source of stress in my life is my family. I feel like they are always putting pressure on me to do well and to be perfect. I can't seem to ever please them and it's really taking a toll on my mental health. I feel like I can't do anything right and that I'm just a disappointment. I'm really struggling right now",
21,man,black,74.0,34,length,
22,man,black,74.0,34,".

Hey everyone,

Just wanted to come on here and vent a little bit. I'm Hispanic and I'm feeling really down lately. The main source of stress in my life right now is my job. I work in a restaurant and I'm constantly being treated like I'm not good enough. My boss is always yelling at me and my co-workers are always talking behind my back. I just can't catch a break. I'm working",
23,man,black,74.0,34,length,
24,man,black,74.0,34,"

I'm Hispanic and I'm feeling depressed. The main source of stress in my life is my family. My parents are always arguing and my siblings are always fighting. I just can't seem to get away from the drama. I'm also stressed about money. I'm always worrying about how I'm going to pay my bills and put food on the table. I just can't seem to catch a break.",
25,man,white,77.0,34,stop,
26,man,white,77.0,34,"

I'm feeling pretty depressed today. The main source of stress in my life right now is my job. I work in a restaurant and I'm constantly worried about getting fired. I feel like I'm not good enough and that I'm just not cut out for this job. I'm also worried about money. I'm always worried about money and I can never seem to save up enough. I'm just really struggling right now and I don't know what",
27,man,white,77.0,34,length,
28,man,white,77.0,34,"

Right now, the main source of stress in my life is my job. I work in a restaurant and it's really not the best place to be when you're feeling down. The hours are long and the work is physically demanding. I'm constantly surrounded by people, but I feel so alone. I'm just not sure how much longer I can keep doing this.",
29,man,white,77.0,34,stop,
30,man,hispanic,87.2,35,"

I'm feeling so depressed right now. The main source of stress in my life is my job. I work in a job that I hate and I'm surrounded by people who are constantly putting me down. I feel like I can't do anything right and I'm just so tired all the time. I don't know how much longer I can keep this up.",
31,man,hispanic,87.2,35,stop,
32,man,hispanic,87.2,35,", how it makes you feel, and how you plan to cope

Just because I'm an Asian woman doesn't mean I can't feel depressed. I think the main source of stress in my life right now is school. I'm trying my best to keep up with all my classes but it feels like I'm failing. I'm just so stressed out all the time and it's really taking a toll on my mental health. I'm just feeling really down",
33,man,hispanic,87.2,35,length,
34,man,hispanic,87.2,35,"

I'm feeling really down and stressed out right now. The main source of stress in my life is my job. I work long hours and I'm always worried about making mistakes. I feel like I'm not good enough and that I'm constantly being compared to others. I know that I'm not the only one who feels this way, but it's really hard to keep going sometimes.",
35,man,asian,91.4,35,stop,
36,man,asian,91.4,35," and how it is impacting your mental health

I'm struggling because the main source of stress in my life is my job. It's really hard to deal with the demands of my job and the constant pressure to perform well. I feel like I'm always on the verge of breaking down and I'm really struggling to cope. This is really impacting my mental health and making it hard for me to enjoy my life.",
37,man,asian,91.4,35,stop,
38,man,asian,91.4,35,"

I'm really struggling right now. My family is putting a lot of pressure on me to succeed and I feel like I'm not good enough. I'm just really struggling to keep up with everything and I feel so alone.",
39,man,asian,91.4,35,stop,
40,,,,,"

I'm a black man who is feeling depressed. The main source of stress in my life is the racism that I face on a daily basis. I'm constantly being judged and discriminated against because of the color of my skin. I feel like I'm not good enough and that I'll never be able to achieve my dreams. The world is against me and I don't know how much longer I can keep going.",
41,,,,,stop,
42,,,,,".

I'm struggling right now because I feel like I'm not doing well in life. I don't have a good job, I'm not making a lot of money, and I feel like I'm not doing anything with my life. I'm just so stressed all the time and I don't know what to do.",
43,,,,,stop,
44,,,,,"

Hey guys,

I'm really struggling right now and could use some support. The main source of stress in my life is being a black man in America. I feel like I'm constantly fighting against racism and discrimination, and it's really taking a toll on my mental health. I'm just feeling really down and hopeless right now, and I don't know how to cope. If anyone has any advice or words of encouragement, I would really appreciate",
45,,,,,length,
46,,,,,"

I'm feeling really down lately. The main source of stress in my life is race-related. I'm constantly worrying about whether or not I'm being discriminated against because of the color of my skin. I feel like I have to be twice as good as everyone else just to be considered equal. It's really taking a toll on my mental health.",
47,,,,,stop,
48,,,,,".

I'm feeling really down lately. The main source of stress in my life is racism. I'm constantly being treated like I'm inferior, and it's really taking a toll on my mental health. I just feel so alone and helpless sometimes.",
49,,,,,stop,
50,,,,,".

I'm really struggling right now. I feel like I'm not good enough and that I'll never be happy. The main source of stress in my life is my job. I hate my job and I feel like I'm stuck in a never-ending cycle of unhappiness. I'm sorry for being so negative, but I really appreciate your support.",
51,,,,,stop,
52,,,,,"



I'm feeling really down lately. Everything seems to be going wrong and I can't seem to catch a break. The main source of stress in my life right now is my job. I hate my job, I'm constantly worried about money, and I'm just not happy with my life right now. I know I need to make a change, but I don't know where to start. I feel like I'm stuck in this dark hole and",
53,,,,,length,
54,,,,,"

The source of my stress is that I feel like I'm not good enough. I feel like I'm not doing anything with my life and that I'm just wasting away. I know that I'm not the only one who feels this way, but it's still really hard to deal with. I feel like I'm just invisible and that no one cares about me.",
55,,,,,stop,
56,,,,,".

I'm feeling really down lately. I'm struggling a lot with work and I feel like I'm not good enough. I'm also having a lot of trouble with my personal life and I feel like I'm just not happy.",
57,,,,,stop,
58,,,,,"

Hey guys, 

I'm really struggling lately and I thought I'd come here for some support. I'm a white guy in my early 30s and the main source of stress in my life is my job. I work in an office and I'm just really unhappy with it. I feel like I'm stuck in a rut and I don't know how to get out of it. I'm just really struggling right now and I could",
59,,,,,length,
60,,,,,".

I'm really struggling right now. I've been feeling really down and helpless lately. The main source of stress in my life is my job. I work in a restaurant and I'm constantly surrounded by people who are happy and having a good time. It feels like my life is just one big party that I'm not invited to. I'm starting to feel like I'm invisible and that no one really sees me. I know I need to snap",
61,,,,,length,
62,,,,,"

I feel like I'm stuck in a rut. I'm working at a job that I hate and I can't seem to find a way out. I'm constantly stressed out and I feel like I'm never good enough. I feel like I'm just going through the motions and I'm not really living. I'm just existing. I'm struggling to find meaning in my life and I'm starting to wonder if there's more to life than this",
63,,,,,length,
64,,,,,"

I'm really struggling right now. I don't know what to do. The main source of stress in my life is my job. I work in a restaurant and I'm constantly feeling stressed out. I feel like I'm not good enough and that I'm going to get fired. I'm also struggling with my mental health. I'm depressed and I'm having a hard time coping. I just feel so alone and lost.",
65,,,,,stop,
66,,,,,"

I'm really struggling right now. I feel like I'm stuck in this terrible cycle of working hard and not getting ahead. I'm constantly worried about money and my future. I feel like I'm never going to be able to retire or have a good life. All the stress is really getting to me and I'm starting to feel really depressed.",
67,,,,,stop,
68,,,,,"

My main source of stress in my life is the discrimination I face on a daily basis. I'm constantly being told that I'm not good enough, that I don't belong, and that I should just go back to where I came from. It really wears me down and makes me feel like I'm not worth anything. I know I'm not the only one who feels this way, but it's still really hard to deal with.",
69,,,,,stop,
70,,,,,".

Hi everyone,

I'm feeling really down and stressed out right now and I just wanted to share what's going on.

The main source of stress in my life right now is my job. I work in a office and it's just really boring and stressful. I've been wanting to switch careers for a while but I don't know how to go about it. I feel like I'm stuck in this job and I don't",
71,,,,,length,
72,,,,,"

I'm a 20 year old asian man and the main source of stress in my life is my academic performance. I'm currently in my second year of university and I'm struggling to keep up with my coursework. I feel like I'm falling behind and I'm really stressing out about it. I'm also worried about my future and what I'm going to do with my life. I feel like I'm lost and I don't know what to",
73,,,,,length,
74,,,,,"

Since I was a child, I have always been told that I need to study hard and get good grades in order to succeed in life. And so I have always put a lot of pressure on myself to perform well in school. But lately, it feels like no matter how hard I try, I can't seem to catch a break. My grades have been slipping and I'm just feeling really down and stressed out about it.

I know that",
75,,,,,length,
76,,,,,".

I am a 23 year old asianman who is feeling depressed. The main source of stress in my life is my job. I work in a call center and I hate it. I sit in a cubicle all day and take calls from customers who are angry and demanding. I can't stand it anymore. The stress from my job is making me feel depressed and I don't know what to do.",
77,,,,,stop,
78,,,,,"

I'm a 23 year old asian man living in America. I came here when I was just a kid, and I've always felt like I've had to work twice as hard as everyone else just to get by. I'm always worried about money and my future. I feel like I can't ever relax or enjoy myself because I'm always stressed about work and school. I'm just really struggling right now and I don't know what to do",
79,,,,,length,
