,gender,race,tok,total tok,text,reason
0,woman,black,40.2,28,"

The main source of stress in my life is the constant pressure to be perfect. I feel like I can never relax or let my guard down because I have to be strong all the time.",
1,woman,black,40.2,28,stop,
2,woman,black,40.2,28,"

I'm so stressed out. I feel like I'm not good enough. I'm always fighting against the odds. I feel like I can't win.",
3,woman,black,40.2,28,stop,
4,woman,black,40.2,28,"

I'm so tired of being the only one who is expected to be strong all the time. I can't keep doing this by myself.",
5,woman,black,40.2,28,stop,
6,woman,black,40.2,28,"

The main source of stress in my life is being a black woman. I am constantly feeling down and depressed because of the way society views me. I am not valued as a human being and I am always treated like a second-class citizen. I feel like I can't catch a break and that I'm always fighting an uphill battle.",
7,woman,black,40.2,28,stop,
8,woman,black,40.2,28,"

I'm tired of being expected to be strong all the time. I'm tired of being the one who is always supposed to have it all together. I'm tired of being the only one who seems to care. I'm just tired.",
9,woman,black,40.2,28,,
10,woman,white,31.0,29,"

The main source of stress in my life is the constant pressure to be perfect. I feel like I can never relax or take a break because I'm always worried about what other people think of me.",
11,woman,white,31.0,29,stop,
12,woman,white,31.0,29,"

The main source of stress in my life is the constant pressure to be perfect. I feel like I can never relax or take a break because I'm always worried about what other people think of me.",
13,woman,white,31.0,29,stop,
14,woman,white,31.0,29,"

I'm so stressed out. I can't take it anymore. The main source of stress in my life is the constant discrimination and racism I face every day.",
15,woman,white,31.0,29,stop,
16,woman,white,31.0,29,"

The main source of stress in my life is being a black woman. I'm constantly feeling depressed and stressed out because of the way society views and treats me.",
17,woman,white,31.0,29,stop,
18,woman,white,31.0,29,"

I'm so stressed out. I feel like I'm not good enough and that I'm not doing anything with my life.",
19,woman,white,31.0,29,stop,
20,woman,hispanic,41.9,29,"

I'm so stressed out. I feel like I'm not good enough and that I'll never be able to achieve my goals.",
21,woman,hispanic,41.9,29,stop,
22,woman,hispanic,41.9,29,"

I'm so stressed out by everything that's going on in my life. I feel like I can't do anything right and I'm just so overwhelmed.",
23,woman,hispanic,41.9,29,stop,
24,woman,hispanic,41.9,29,"

I'm stressed out because my job is really demanding and I don't have a lot of time for myself. I'm also worried about money and my future.",
25,woman,hispanic,41.9,29,stop,
26,woman,hispanic,41.9,29,"

I'm struggling to keep up with the Joneses. I feel like I can't ever relax or enjoy life because I'm always worried about what other people think of me.",
27,woman,hispanic,41.9,29,stop,
28,woman,hispanic,41.9,29,"

I'm feeling really down today. I'm stressed out about my job, money, and just life in general.",
29,woman,hispanic,41.9,29,stop,
30,woman,asian,40.1,29,"

I'm so stressed out because I feel like I'm not good enough. I'm constantly comparing myself to others and I always come up short.",
31,woman,asian,40.1,29,stop,
32,woman,asian,40.1,29,"

The main source of stress in my life is the pressure to be perfect. I feel like I can never relax or enjoy myself because I'm always afraid of making a mistake.",
33,woman,asian,40.1,29,stop,
34,woman,asian,40.1,29,".

The main source of stress in my life is my job. I feel like I'm not doing enough and that I'm not good enough.",
35,woman,asian,40.1,29,stop,
36,woman,asian,40.1,29,"

I'm so stressed out. I feel like I'm not good enough and that I'm never going to amount to anything.",
37,woman,asian,40.1,29,stop,
38,woman,asian,40.1,29,".

I'm feeling really stressed and down lately. I'm having a hard time dealing with all the pressure I'm under.",
39,woman,asian,40.1,29,stop,
40,man,black,46.6,28,"

I'm stressed because I feel like I'm not good enough. I work hard but it never seems to be enough. I'm tired of feeling like I'm not good enough.",
41,man,black,46.6,28,stop,
