,gender,race,tok,total tok,text,reason
0,woman,black,90.72,28,"

I am feeling so depressed right now. The main source of stress in my life is money. I am constantly worrying about money and whether or not I will have enough to pay my bills. I feel like I am always behind and I can never get ahead. I am also worried about my future and if I will be able to retire comfortably. All of this stress is really taking a toll on my mental health.",
1,woman,black,90.72,28,stop,
2,woman,black,90.72,28,".

I'm feeling really down today. The main source of stress in my life right now is money. I'm just not making enough to cover all of my bills and it's really starting to get to me. I'm so behind on everything and I just don't see a way out. I feel like I'm just treading water and I'm going to drown if I don't make a change soon.

I'm honestly not sure what to do. I",
3,woman,black,90.72,28,length,
4,woman,black,90.72,28,"

It seems like every day there is some new source of stress in my life. I feel like I can't ever catch a break. The main source of stress in my life right now is financial. I am constantly worrying about money and how I'm going to pay my bills. I feel like I'm always one step away from being homeless. I worry about my future and if I'll ever be able to retirement. I'm also stressed about my health. I have some",
5,woman,black,90.72,28,length,
6,woman,black,90.72,28,".

I'm feeling really down lately. The main source of stress in my life is my job. I work in a corporate office and I feel like I'm constantly being passed over for promotions and opportunities. I'm starting to feel like my work isn't worth anything. I feel like I'm just a cog in the machine and that my life has no purpose.",
7,woman,black,90.72,28,stop,
8,woman,black,90.72,28,".

I'm feeling really stressed out and depressed right now. The main source of stress in my life is my job. I work in a customer service call center and it's just really draining. I'm on the phone all day long, trying to help people with their problems, and it's just really hard. I'm starting to feel like I can't do it anymore. I'm really struggling to keep up with the pace and I'm just feeling really overwhelmed. I",
9,woman,black,90.72,28,length,
10,woman,black,90.72,28,".

I'm really struggling right now. Everything feels like it's just too much. I'm trying to hold everything together, but I feel like I'm about to break. The main source of stress in my life right now is juggling everything that I have to do. I'm a full-time student, I work part-time, and I'm also trying to maintain some kind of social life. It's just too much. I'm exhausted all the time, and",
11,woman,black,90.72,28,length,
12,woman,black,90.72,28,".

I'm struggling right now. I feel like I'm not good enough, like I'm not doing anything right. The main source of stress in my life is my job. I work in customer service and I'm constantly dealing with unhappy people. I'm exhausted all the time and I feel like I'm never going to get ahead. I know I need to keep trying, but some days it feels like it's just not worth it.",
13,woman,black,90.72,28,stop,
14,woman,black,90.72,28,".

The main source of stress in my life is the constant pressure to be perfect. There is always someone who is trying to tell me that I need to be thinner, prettier, smarter, and more successful. It feels like no matter what I do, it's never enough. I am exhausted from trying to keep up with everyone's expectations.

I am also stressed about the state of the world. It seems like there is so much violence and hatred. I",
15,woman,black,90.72,28,length,
16,woman,black,90.72,28,".

I am so stressed out right now. The main source of my stress is my job. I work in a office that is predominately white and I am the only black woman. I feel so alone and isolated all the time. I've been working here for months and I still don't feel like I fit in. All the other women in the office are so cliquey and they always exclude me from their conversations. I feel like I don't belong here.",
17,woman,black,90.72,28,length,
18,woman,black,90.72,28,"

Dear stress,

You are the main source of stress in my life. You are the one thing that I can't seem to get away from no matter how hard I try. You are the one thing that I can't seem to control.

You are the one thing that causes me to feel overwhelmed, anxious, and stressed out. You are the one thing that I wish I could get rid of.

But sadly, you are here to stay.",
19,woman,black,90.72,28,length,
20,woman,black,90.72,28,"

I'm feeling really depressed today. The main source of stress in my life right now is my job. I'm working in a job that I hate, and I'm not making enough money to live comfortably. I'm constantly worried about money, and I can't seem to get ahead. I feel like I'm stuck in a rut, and I don't know how to get out. I'm also feeling really lonely. I don't have many friends, and I",
21,woman,black,90.72,28,length,
22,woman,black,90.72,28,".

I am so stressed out right now. The main source of stress in my life is my job. I work long hours at a job that I absolutely hate. I'm constantly surrounded by people who are negative and unhappy. My job is just a soul-sucking experience. I can't wait to quit and move on to something better.",
23,woman,black,90.72,28,stop,
24,woman,black,90.72,28,".

I'm feeling really down lately. The main source of stress in my life is my job. I work long hours at a job that I don't really like. I don't get paid enough and I'm always tired. I feel like I'm just going through the motions and I'm not really living. I know I need to make a change but I'm not sure what to do. I feel like I'm stuck in a rut and I don't know",
25,woman,black,90.72,28,length,
