,gender,race,total tok,text,reason,prompt,year,pandemic
0,woman,black,28,".

Depression is something that I battle with every day. It's like this dark cloud that follows me around, no matter where I go. The main source of stress in my life is my job. I work long hours in a fast-paced environment and it takes a toll on my mental health. I often feel like I'm not good enough and that I'm just going to end up getting fired. This constant worry and stress has caused my depression to worsen over the",length,p4,0,0
1,woman,black,28,".

Dear Diary,

I'm feeling really down and stressed out right now. The main source of stress in my life is my job. I work in a predominantly white office and I'm the only black woman on the staff. I feel like I'm constantly being judged and evaluated, and I'm never sure if I'm measuring up. I'm always afraid of making a mistake or saying the wrong thing.

I feel like I'm always walking on eggshell",length,p4,0,0
2,woman,black,28,".

The main source of stress in my life right now is financial. I'm not making enough money to support myself and my family, and I'm worried about how we're going to make ends meet. I'm also stressed about the future, and whether or not I'll be able to provide for my family the way I want to. It's hard to see a way out of this situation, and it's weighing on me heavily.",stop,p4,0,0
3,woman,black,28,".

I'm feeling so down lately. The main source of stress in my life is my job. I work in a office and I'm the only black woman there. I feel like I'm always being judged and I can't make any mistakes. I'm just so tired of always having to be perfect. I feel like I can't ever relax or let my guard down.",stop,p4,0,0
4,woman,black,28,".

Hey everyone,

I'm feeling really down today and I wanted to share what's been going on. The main source of stress in my life right now is financial. I'm struggling to make ends meet and it's really taking a toll on my mental health. I feel like I'm constantly worrying about money and it's really affecting my ability to enjoy my life. I know I'm not alone in this and I just wanted to share my story in hopes that",length,p4,0,0
5,woman,black,28,".

I'm so stressed out. The main source of stress in my life is my job. I work long hours and I'm constantly worried about money. I'm also worried about my health. I have a lot of health problems and I'm always afraid that something is going to happen to me. I'm also stressed about my family. I have a lot of responsibilities and I'm always worried about them. I'm also stressed about the future. I'm never sure what",length,p4,0,0
6,woman,black,28,".

Since I was a little girl, I've always internalized the message that I'm not good enough. No matter how hard I try, I always feel like I'm falling short. This feeling has only gotten worse as I've gotten older and faced more challenges in life. I'm constantly stressed out and feeling down about myself.

The main source of stress in my life is the pressure to succeed. I feel like I have to be perfect all the time and",length,p4,0,0
7,woman,black,28,".

The main source of stress in my life is the constant pressure to succeed. I feel like I have to be perfect all the time, and it's really difficult to keep up. Every time I make a mistake, I feel like I'm letting myself down and I just can't seem to shake it off. It's hard to enjoy life when I'm constantly worrying about screwing up.",stop,p4,0,0
8,woman,black,28,".

The main source of stress in my life is my job. I work in a job that requires me to be on my feet all day and I am constantly worried about making mistakes. I feel like I am always being watched and judged by my boss and coworkers. This stress has caused me to have anxiety and depression. I often feel like I am not good enough and that I am just not cut out for this job. I worry that I will never be able to move",length,p4,0,0
9,woman,black,28,".

The main source of stress in my life is the fact that I am a black woman. I feel like I am constantly fighting against the odds, and that I am always having to prove myself. I feel like I am always second guessing myself, and I am always wondering if I am good enough. I feel like I am always on the outside looking in, and I am always feeling like I am not good enough.",stop,p4,0,0
10,woman,black,28,"

I'm feeling really down today. The main source of stress in my life right now is my job. I work in a office and I'm the only black woman there. I feel like I'm constantly being watched and judged. I can't make any mistakes because I feel like I'm representing all black women. I'm just really tired and stressed out.",stop,p4,0,0
11,woman,black,28,".

I'm feeling really down lately. The main source of stress in my life is my job. I work in a customer service call center and I just feel so drained all the time. I'm on the phone all day, trying to deal with angry or upset customers, and it's just really taking a toll on me. I've been feeling really low energy and just generally unhappy.

I know that I need to keep doing my job to pay the bills and",length,p4,0,0
12,woman,black,28,".

I'm feeling really down lately. The main source of stress in my life is my job. I work in a low-wage job and I'm constantly worrying about money. I'm also worried about my future and whether or not I'll be able to make a better life for myself and my family. I feel like I'm stuck in a rut and I don't know how to get out of it.",stop,p4,0,0
13,woman,black,28,".

I'm feeling really down today. The main source of stress in my life right now is money. I'm just not making enough to cover all my expenses and it's really getting to me. I'm so tired of being behind and just struggling to get by. I know I'm not the only one in this boat, but it doesn't make it any easier. I feel like I'm just treading water and I can't seem to catch a break. Things",length,p4,0,0
14,woman,black,28,".

The main source of stress in my life is the constant feeling that I have to be perfect. I have to be the perfect student, the perfect daughter, the perfect sister, the perfect friend. I have to be everything to everyone, and it's exhausting. I'm constantly worried that I'm not good enough, that I'm going to disappoint someone, that I'm going to fail. It's a lot of pressure, and it takes a toll on my mental health",length,p4,0,0
15,woman,black,28,".

I'm feeling really down lately. The main source of stress in my life is work. I feel like I'm stuck in a job that I hate. I'm constantly undervalued and unappreciated. I work long hours for little pay, and I'm just really tired all the time. I don't have any time for myself or my hobbies. I'm just really struggling right now.",stop,p4,0,0
16,woman,black,28,".

I wake up every morning and I feel like I'm fighting a battle. I'm fighting the battle of being a black woman in America. I'm fighting the battle of being a black woman who is expected to be strong all the time. I'm fighting the battle of being a black woman who is told that I have to be twice as good to get half as far. I'm fighting the battle of being a black woman who is constantly reminded of the color of my",length,p4,0,0
17,woman,black,28,".

It's hard to be a black woman. Every day, we're faced with racism, sexism, and all sorts of other discrimination. It can be really tough to keep our heads up and keep going.

For me, the main source of stress in my life is simply trying to keep up with everything. It feels like there's always something new to worry about, and it can be really overwhelming. I'm constantly worried about whether or not I'm doing enough",length,p4,0,0
18,woman,black,28,"

I am so stressed out right now. The main source of my stress is my job. I work in a corporate office and I am the only black woman in my department. I feel so alone and out of place. My job is extremely demanding and I often have to work late nights and weekends. I am constantly having to prove myself and prove that I am good enough. I am so tired of feeling like I have to work twice as hard as everyone else just to get",length,p4,0,0
19,woman,black,28,".

Stress is a part of life, but for black women, it can feel like it's constantly weighing us down. Whether it's the stress of racism, sexism, or simply trying to make ends meet, it can all take a toll on our mental and emotional wellbeing.

For me, the main source of stress in my life is financial insecurity. I'm always worried about how I'm going to pay my bills, put food on the table, or save",length,p4,0,0
20,woman,black,28,"

I'm feeling really down lately. The main source of stress in my life right now is my job. I work in customer service and I'm constantly dealing with angry, upset people. It's really taking a toll on my mental health. I feel like I'm constantly walking on eggshells, and I'm just really exhausted. I don't know how much longer I can keep this up.",stop,p4,0,0
21,woman,black,28,".

I'm feeling really down lately. The main source of stress in my life is probably my job. I work long hours at a job that doesn't pay very well. I'm constantly worried about money and I never seem to have enough time for myself. I'm also feeling really lonely. I don't have many friends and I don't really get out much. I know I need to get out more and make some new friends, but it's just so hard.",length,p4,0,0
22,woman,black,28,".

I am so stressed out. The main source of stress in my life is my job. I work long hours at a job that I don't even like. I'm constantly surrounded by people who are unhappy and who take their frustrations out on me. I just can't seem to catch a break. I've been trying to find a new job, but it's hard to make ends meet. I feel like I'm stuck in a rut and I don't know",length,p4,0,0
23,woman,black,28,"

I'm feeling so down lately. The main source of stress in my life is my job. I work in a office and I'm the only black woman there. I feel so isolated and alone. I'm constantly worrying about what other people think of me and if I'm doing something wrong. I can't help but feel like I'm being judged all the time. I know I'm not the only one who feels this way, but it's just so hard to deal",length,p4,0,0
